X,Y,Name,description,Ville
2.3706471,48.8473045,The BBQ brother Food truck,,
12.4754427,41.8809453,Pizzeria Da Remo,,
12.4761443,41.879498,Tortellini e dintorni,,
12.4736352,41.8796102,Trapizzino | Testaccio,,
2.3689982,48.8752965,Panda Panda,,
12.4751902,41.8947774,Emma,,
12.44774,41.875751,La Gatta Mangiona,,
12.4466709,41.9066758,Pizzarium,,
12.4714055,41.8980143,Barretta Pesce e Porchetta,,
2.3655598,48.8780483,Bricktop Pizza Paris,,
2.3069612,48.8988205,Bricktop Pizza Clichy,,
12.4783954,41.8793717,Mastro Donato Pizza Gourmet Roma,,
12.4683172,41.8796661,Seu Pizza Illuminati,,
2.3794031,48.8566263,BASIQUE,,
2.3544339,48.8609932,Le Ruisseau Burger Joint,,
2.2900892,48.8935068,Le Ruisseau - Levallois,,
-1.6624992,43.3869295,Le Garage,,
2.3689244,48.86097,Aï Hsu,,
2.3626481,48.8718855,Bopome,,
2.3481073,48.8796626,Restaurant Délice de Condorcet,,
2.3547482,48.8731554,Grand Café d'Athènes,,
2.3598249,48.870765,Sold Out Burger,,
2.3800439,48.8534502,Mokoloco,,
2.3848872,48.8544932,L'Armagnac,,
2.3384727,48.876804,Piou Piou,,
2.4042034,48.8600808,Peppe Pizzeria,,
2.364063,48.8662771,loov Resto,,
2.380934,48.8731455,Ama Siam,,
2.3764188,48.867315,The Hood Paris,,
2.3603429,48.8629736,Onii-San,,
2.340116,48.892135,Il Brigante,,
12.5773811,55.679563,Gasoline Grill,,
12.5624042,55.6761894,Gasoline Grill - Vesterport Station,,
12.5327035,55.6668081,Gasoline Grill - Carlsberg Byen,,
2.3657338,48.8714683,Gros Bao,,
-1.5518598,43.4322394,Trallallà Food Truck,,
12.5314956,55.6674466,Surt,,
-0.090963,51.5054504,Borough Market,,
-0.0938851,51.4533384,Ken’s Fish Bar,,
-1.9864426,43.3237078,Atari Gastroleku,,
-1.9854917,43.3234111,Ganbara,,
-1.9844592,43.3233372,Casa Urola,,
-1.9838887,43.3234725,Borda Berri,,
-1.983707,43.323872,Bar Nestor,,
-1.5642212,43.4791645,CIBO Pizza,,
-1.5657785,43.4736522,Louvine,,
-1.5621009,43.4798813,AILLEURS,,
-1.5642841,43.4794796,Le CAB,,
-9.1459173,38.7070745,Time Out Market Lisbon,,
2.3653516,48.865024,Goku Asian Canteen,,
2.3106614,48.8702637,Restaurant Japonais d'Udon KISIN,,
2.3700204,48.8664318,Haikara,,
2.3455297,48.8656658,Filakia Petit Café d'Athènes,,
2.3543713,48.8454524,Filakia,,
2.3457726,48.8657311,Sarra Deli,,
2.3631778,48.8622642,Mao dumpling bar,,
