id,lat,long,nom,ville,type,adresse
1132,,,CUISINE,75009,neobistrot,50 Rue Condorcet
1133,,,Villa9Trois,93100,gastronomique,71 Rue Hoche
1134,,,Momzi - Elevated Donuts,75002,patisserie,1 Rue Cherubini
1135,,,Taozi pâtisserie,75008,patisserie,32 Rue Jean Mermoz
1136,,,Christophe Louie,75003,patisserie/boulangerie/coeur,12 Rue Dupetit-Thouars
1137,,,Manteigaria - Fábrica de Pastéis de Nata France,75003,patisserie,24 Rue Rambuteau
1138,,,BUDDY BUDDY,75010,patisserie/coffee/coeur,15 Rue de Marseille
1139,,,Motors Coffee,75001,patisserie/coffee,7 Rue des Halles
1140,,,On Partage - Cantine Caféinée,75011,coffee/brunch,137 bis Rue de Charonne
1141,,,Café Pigalle,75009,coffee/brunch,7 Rue Frochot
1142,,,Shakespeare and Company Café,75005,patisserie/coffee,35 Rue de la Bûcherie
1143,,,Pendi Coffee,75017,patisserie/coffee/brunch,47 Rue Brochant
1144,,,Café Blondie,75009,patisserie/coffee/pouce,40 Rue Saint-Georges
1145,,,Flour,75010,coffee/pouce,17 R. des Petites Écuries
1146,,,Aura Juice Paris - Organic Smoothie Bar & Food,75003,coffee/brunch,26 Rue Chapon
1147,,,ONOUL_café_épicerie fine coréenne,75015,coffee/brunch,8 Rue Gramme
1148,,,Eataly,75004,epicerie/vins/italien,37 Rue Sainte-Croix de la Bretonnerie
1149,,,Florian Mésère Chocolatier,75017,chocolatier,18 Rue de La Jonquière
1150,,,MEHMET,75018,orient/coeur,43 Rue Ramey
1151,,,Folderol,75011,glace/coeur/vins,"10 Rue du Grand Prieuré, 75011 Paris"
1152,,,Peppe Pizzeria Martyrs,75009,italien/coeur,"61 R. des Martyrs, 75009 Paris"
1153,,,Epicerie - Primeur - Crèmerie - Charcuterie Terroirs d'Avenir,75017,epicerie/primeur/coeur,"123 Rue des Dames, 75017 Paris"
1154,,,Nodaïwa,75001,asiatique/coeur,"272 Rue Saint-Honoré, 75001 Paris"
1155,,,Omusubi Gonbei Paris Palais-Royal,75001,asiatique/coeur,"27 Rue des Petits Champs, 75001 Paris"
1156,,,Omusubi Gonbei Paris République,75003,asiatique,"83 R. de Turbigo, 75003 Paris"
1157,,,Tapisserie - Motte Picquet,75007,patisserie/coeur/brunch,"16 Av. de la Motte-Picquet, 75007 Paris"
1158,,,Gido,75006,pouce,"37 Rue de l'Abbé Grégoire, 75006 Paris"
1159,,,OMURICE,75002,asiatique,"10 Rue de Port-Mahon, 75002 Paris"
1160,,,Broche - shawarma au feu de bois,75002,orient/pouce,"49 Pass. des Panoramas, 75002 Paris"
1161,,,Restaurant Les délices de Tunisie,75020,orient/pouce,"9 Rue du Liban, 75020 Paris"
1162,,,Pin-Pan,75009,pouce/latino,"79 Rue Taitbout, 75009 Paris"
1163,,,Mắm From Hanoï,75002,asiatique,"39 Rue de Cléry, 75002 Paris"
1164,,,Taco Mesa,75010,pouce,"40 Rue du Faubourg Poissonnière, 75010 Paris"
1165,,,Kuna Naan Paris,75009,pouce/indien,"39 Rue Jean-Baptiste Pigalle, 75009 Paris"
1166,,,Wukong,75002,asiatique,"16 Rue Léopold Bellan, 75002 Paris"
1167,,,La Sajerie,75009,pouce/vege,"20 Rue d'Abbeville, 75009 Paris"
1168,,,Pastavino - Levis,75017,italien/pouce,"7-9 R. de Lévis, 75017 Paris"
1169,,,Pastavino - Buci,75006,italien/pouce,"18 Rue de Buci, 75006 Paris"
1170,,,Pastavino - Bac,75007,italien/pouce,"87 Rue du Bac, 75007 Paris"
1171,,,Pastavino - Bretagne,75003,italien/pouce,"19 Rue de Bretagne, 75003 Paris"
1172,,,Nouilles Ban Ban,75002,asiatique,"23 Rue des Petits Champs, 75002 Paris"
1173,,,Kiss,75009,pouce,"55 Rue du Faubourg Poissonnière, 75009 Paris"
1174,,,THE BUTCHER OF PARIS,75003,brasserie/neobistrot,"39 Rue de Bretagne, 75003 Paris"
1175,,,Aube,75011,brunch/neobistrot,"8 Rue de la Main d'Or, 75011 Paris"
