numero,Lat,Long,Nom,Ville,Pays,Type,star,isReservable,horaires,adresse,photo
707,,,Tartine Sycamore,Los Angeles,USA,boulangerie/patisserie/sur_le_pouce,,,,911 N. Sycamore Ave,https://4.bp.blogspot.com/-DzSdtSanmbA/XICbzOtniII/AAAAAAAAQ4I/m8kTEZS0IxACT7N56OR4l-JMd1E8LkQAQCLcBGAs/s1600/tartine-sandwiches.jpg
708,,,Tartine Silver Lake,Los Angeles,USA,boulangerie/patisserie/sur_le_pouce,,,,3921 Sunset Blvd,https://4.bp.blogspot.com/-DzSdtSanmbA/XICbzOtniII/AAAAAAAAQ4I/m8kTEZS0IxACT7N56OR4l-JMd1E8LkQAQCLcBGAs/s1600/tartine-sandwiches.jpg
709,,,Tartine West Adams,Los Angeles,USA,boulangerie/patisserie/sur_le_pouce,,,,5335 W Adams Blvd,https://media-cdn.tripadvisor.com/media/photo-s/15/00/9a/26/selection-of-artisan.jpg
710,,,Tartine Coffee Bar @ Ryse Hotel,Seoul,South Korea,boulangerie/patisserie/sur_le_pouce/brunch/coffee_shop,,,,Ryse Hotel 1F  130 Yanghwa-ro  Mapo-gu,https://media-cdn.tripadvisor.com/media/photo-s/15/00/9a/26/selection-of-artisan.jpg
711,,,Tartine Dosan,Seoul,South Korea,boulangerie/patisserie/sur_le_pouce/brunch/coffee_shop,,,,524 Eonju-Ro 168Gil  Gangnam-gu,https://1.bp.blogspot.com/-XjI2LOOJfVo/XXTh-MbjC1I/AAAAAAAANvo/R3UyabPj_9cbv3xvMylP0ZdueQpooZLWgCLcBGAs/s1600/DSC03429.JPG
712,-0.19785,51.508338,Eggbreak,Londres,UK,coffee_shop/brunch/sur_le_pouce,,,,30 Uxbridge St  London W8 7TA,https://images.xceed.me/restaurants/gallery/eggbreak-restaurant-london-xceed-4d66-808f.jpeg
713,2.3464058,48.8816545,Papilles Coffehouse & Restaurant,75009,France,brunch/coffee_shop/sur_le_pouce,,,,77 Rue Marguerite de Rochechouart,https://fastly.4sqi.net/img/general/600x600/567840128_AmSFh0j2sZvkQ6ON4nk02XC-ZohRC3IHPhDUaqmI4LE.jpg
714,2.3331631,48.8663375,SANJO,75001,France,asiatique,,,,29 Rue d'Argenteuil,https://axwwgrkdco.cloudimg.io/v7/lefooding.com/medias/2021/07/06_17_20_283_Sanjo_3_small.jpg?width=1440&height=960&optipress=3
715,2.3481848,48.8795715,Délice de Condorcet,75009,France,asiatique,,,,10 Rue Condorcet,"https://static.lexpress.fr/medias_11964/w_2048,h_1146,c_crop,x_0,y_280/w_1000,h_563,c_fill,g_north/v1541604151/les-delices-de-condorcet_6125950.jpg"
716,2.3764513,48.8667905,Le Favori,75011,France,sur_le_pouce,,,,112 Rue Saint-Maur,https://foodetective-production.s3.amazonaws.com/uploads/picture/photo/aa658f1a-fd36-4bb6-8d4f-2c1ec34a8f75/15e64073-5955-4e57-a802-34fa97eb2197.jpeg
