Lat,Long,Nom,Ville,Pays,Type,star,isReservable,horaires,adresse,photo
-7.9081851,38.5702513,Tua Madre,evora,Portugal,italien,oui,,,Alcarcova de Baixo 55  7000-841 evora,https://lifecooler.com/files/registos/imagens/520273/431522.jpg
2.370483,48.865541,Botanique Restaurant,75011,France,neobistrot,,,,71 Rue de la Folie Mericourt,https://images.squarespace-cdn.com/content/v1/56162897e4b09b3c0d81d86b/1548191140271-SSK1LDY3A06RAKVHG4DT/DSC_8202_modif.jpg?format=2500w
2.2758101,48.8429308,Ischia - Cyril Lignac,75015,France,italien,,,,14 Rue Cauchy,https://www.sortiraparis.com/images/58/77153/660466-ischia-la-nouvelle-table-italienne-de-cyril-lignac.jpg
-1.6258089,43.4141116,Ostalamer,Saint-Jean-de-Luz,France,brasserie,,,,160 Rte des Plages,https://media-cdn.tripadvisor.com/media/photo-s/0c/b5/0e/7f/ostalamer.jpg
7.2866783,43.6947928,Epiro Nice | Vino e Cucina,Nice,France,italien,,,,53 Bd Stalingrad,https://nice.love-spots.com/wp-content/uploads/sites/2/2019/10/Epiro_restaurant-italien-Nice_Love-spots_03.jpg
25.1497696,37.0839964,STOU FRED,75003,France,neobistrot,,,,223 Rue Saint-Martin,https://ugc.zenchef.com/3/5/3/6/3/1/1/5/0/9/3/3/2/1582111553_205/13fe3d5e4f11ffe17ecc64709adf584f.website.jpg
2.3724387,48.8633448,Chambre Noire,75011,France,brasserie/bar/vins,,,,32 Rue des Trois Bornes,https://res.cloudinary.com/places242/image/upload/v1616959179/ietcbhyqa85yur5i1xcy.jpg
5.3839966,43.2943428,Livingston,Marseille,France,neobistrot,,,,5 Rue Crudere,https://www.eau-a-la-bouche.fr/wp-content/uploads/2021/06/marseille-livingston-mercerie-scaled.jpg
2.3589068,48.8743883,MARROW,75010,France,neobistrot,,,,128 Rue du Faubourg Saint-Martin,https://media-cdn.tripadvisor.com/media/photo-s/0f/c7/e4/69/poulpe-croustillant-romesco.jpg
-9.157706,38.684985,Ponto Final,Lisbonne,Portugal,brasserie,,,,R. do Ginjal 72  2800-285 Almada,https://media-cdn.tripadvisor.com/media/photo-s/02/c8/d8/12/ponto-final.jpg
5.3826253,43.9429767,Le Saint Hubert,Saint-Saturnin-les-Apt,France,neobistrot/hotel,,,,1 Pl. de la Fraternite,https://media-cdn.tripadvisor.com/media/photo-s/19/e4/41/14/photo-credit-charissa.jpg
-1.5583056,43.4809585,Sillon,Biarritz,France,neobistrot,,,,4 Rue Jean Bart,https://media-cdn.tripadvisor.com/media/photo-s/1d/8d/86/5d/caption.jpg
-9.1466222,38.7157611,Tapisco Lisboa,Lisbonne,Portugal,brasserie,,,,R. Dom Pedro V 81  1250-096 Lisboa,https://gr-images.viamichelin.com/images/michelin_guide/max/530292_pro_6.jpg
2.3621245,48.8625855,Les enfants du marche,75003,France,neobistrot,,,,39 Rue de Bretagne,https://axwwgrkdco.cloudimg.io/v7/lefooding.com/medias/2021/07/18_32_50_842_restaurant_les_enfants_du_marche_paris.jpeg?width=1440&height=960&optipress=3
2.362612,48.8638048,PNY Marais,75003,France,burger/sur_le_pouce,,,,1 Rue Perree,https://media-cdn.tripadvisor.com/media/photo-s/1c/35/ce/e5/tout-rose-et-bleu-comme.jpg
,,PNY BURGER PIGALLE,75009,France,burger/sur_le_pouce,,,,24 Rue Pierre Fontaine,https://media-cdn.tripadvisor.com/media/photo-s/1d/2a/4e/38/return-of-the-cowboy.jpg
,,PNY BURGER FAUBOURG SAINT-DENIS,75010,France,burger/sur_le_pouce,,,,50 Rue du Faubourg Saint-Denis,https://media-cdn.tripadvisor.com/media/photo-s/1d/2a/4e/38/return-of-the-cowboy.jpg
,,PNY BURGER OBERKAMPF,75011,France,burger/sur_le_pouce,,,,96 Rue Oberkampf,https://media-cdn.tripadvisor.com/media/photo-s/1d/2a/4e/38/return-of-the-cowboy.jpg
